D-Boxes,Usable,Overhead,Total Usable Capacity TB,Error correction overhead,Total w/File System Overhead,Physical,,
162,1195.56,156.12,193680.76,2.67%,11.55%,1351.68,,
163,1195.56,156.12,194876.32,2.67%,11.55%,1351.68,,
164,1195.56,156.12,196071.88,2.67%,11.55%,1351.68,,
165,1195.56,156.12,197267.44,2.67%,11.55%,1351.68,,
166,1195.56,156.12,198463.00,2.67%,11.55%,1351.68,,
167,1195.56,156.12,199658.56,2.67%,11.55%,1351.68,,
168,1195.56,156.12,200854.12,2.67%,11.55%,1351.68,,
169,1195.56,156.12,202049.68,2.67%,11.55%,1351.68,,
170,1195.56,156.12,203245.24,2.67%,11.55%,1351.68,,
171,1195.56,156.12,204440.80,2.67%,11.55%,1351.68,,
172,1195.56,156.12,205636.36,2.67%,11.55%,1351.68,,
173,1195.56,156.12,206831.92,2.67%,11.55%,1351.68,,
174,1195.56,156.12,208027.48,2.67%,11.55%,1351.68,,
175,1195.56,156.12,209223.04,2.67%,11.55%,1351.68,,
176,1195.56,156.12,210418.60,2.67%,11.55%,1351.68,,
177,1195.56,156.12,211614.16,2.67%,11.55%,1351.68,,
178,1195.56,156.12,212809.72,2.67%,11.55%,1351.68,,
179,1195.56,156.12,214005.28,2.67%,11.55%,1351.68,,
180,1195.56,156.12,215200.84,2.67%,11.55%,1351.68,,
181,1195.56,156.12,216396.40,2.67%,11.55%,1351.68,,
182,1195.56,156.12,217591.96,2.67%,11.55%,1351.68,,
183,1195.56,156.12,218787.52,2.67%,11.55%,1351.68,,
184,1195.56,156.12,219983.08,2.67%,11.55%,1351.68,,
185,1195.56,156.12,221178.64,2.67%,11.55%,1351.68,,
186,1195.56,156.12,222374.20,2.67%,11.55%,1351.68,,
187,1195.56,156.12,223569.76,2.67%,11.55%,1351.68,,
188,1195.56,156.12,224765.32,2.67%,11.55%,1351.68,,
189,1195.56,156.12,225960.88,2.67%,11.55%,1351.68,,
190,1195.56,156.12,227156.44,2.67%,11.55%,1351.68,,
191,1195.56,156.12,228352.00,2.67%,11.55%,1351.68,,
192,1195.56,156.12,229547.56,2.67%,11.55%,1351.68,,
193,1195.56,156.12,230743.12,2.67%,11.55%,1351.68,,
194,1195.56,156.12,231938.68,2.67%,11.55%,1351.68,,
195,1195.56,156.12,233134.24,2.67%,11.55%,1351.68,,
196,1195.56,156.12,234329.80,2.67%,11.55%,1351.68,,
197,1195.56,156.12,235525.36,2.67%,11.55%,1351.68,,
198,1195.56,156.12,236720.92,2.67%,11.55%,1351.68,,
199,1195.56,156.12,237916.48,2.67%,11.55%,1351.68,,
200,1195.56,156.12,239112.04,2.67%,11.55%,1351.68,,
201,1195.56,156.12,240307.60,2.67%,11.55%,1351.68,,
202,1195.56,156.12,241503.16,2.67%,11.55%,1351.68,,
203,1195.56,156.12,242698.72,2.67%,11.55%,1351.68,,
204,1195.56,156.12,243894.28,2.67%,11.55%,1351.68,,
205,1195.56,156.12,245089.84,2.67%,11.55%,1351.68,,
206,1195.56,156.12,246285.40,2.67%,11.55%,1351.68,,
207,1195.56,156.12,247480.96,2.67%,11.55%,1351.68,,
208,1195.56,156.12,248676.52,2.67%,11.55%,1351.68,,
209,1195.56,156.12,249872.08,2.67%,11.55%,1351.68,,
210,1195.56,156.12,251067.64,2.67%,11.55%,1351.68,,
211,1195.56,156.12,252263.20,2.67%,11.55%,1351.68,,
212,1195.56,156.12,253458.76,2.67%,11.55%,1351.68,,
213,1195.56,156.12,254654.32,2.67%,11.55%,1351.68,,
214,1195.56,156.12,255849.88,2.67%,11.55%,1351.68,,
215,1195.56,156.12,257045.44,2.67%,11.55%,1351.68,,
216,1195.56,156.12,258241.00,2.67%,11.55%,1351.68,,
217,1195.56,156.12,259436.56,2.67%,11.55%,1351.68,,
218,1195.56,156.12,260632.12,2.67%,11.55%,1351.68,,
219,1195.56,156.12,261827.68,2.67%,11.55%,1351.68,,
220,1195.56,156.12,263023.24,2.67%,11.55%,1351.68,,
221,1195.56,156.12,264218.80,2.67%,11.55%,1351.68,,
222,1195.56,156.12,265414.36,2.67%,11.55%,1351.68,,
223,1195.56,156.12,266609.92,2.67%,11.55%,1351.68,,
224,1195.56,156.12,267805.48,2.67%,11.55%,1351.68,,
225,1195.56,156.12,269001.04,2.67%,11.55%,1351.68,,
226,1195.56,156.12,270196.60,2.67%,11.55%,1351.68,,
227,1195.56,156.12,271392.16,2.67%,11.55%,1351.68,,
228,1195.56,156.12,272587.72,2.67%,11.55%,1351.68,,
229,1195.56,156.12,273783.28,2.67%,11.55%,1351.68,,
230,1195.56,156.12,274978.84,2.67%,11.55%,1351.68,,
231,1195.56,156.12,276174.40,2.67%,11.55%,1351.68,,
232,1195.56,156.12,277369.96,2.67%,11.55%,1351.68,,
